User ID,user_name,Twitter Account Duration(till 26/1/2020),Avg. Tweet Rate(per Month),Avg. Retweet Rate(per Month),Avg. Reply Rate(per Month),Avg. Fav Count(per Month),Avg. Retweeted Count(per Month),Avg. Quote Count(per Month),k-shell value
21732506,Williamson_Josh,344543325.0,37.211,113.895,19.789,9720.684,101947.053,21.947,14.4
61318104,doriannelaux,331088854.0,7.16,10.049,7.078,29.333,7027.23,1.523,14.4
581123710,SarfarazA_54,242891185.0,7.585,13.268,15.538,19515.276,4839.69,4.553,14.4
1114681081,JanetDaby,221040692.0,49.676,38.706,7.226,1763.529,30792.559,28.941,14.4
300645437,CarolCampbell4,274307289.0,65.556,200.667,94.444,7075.222,233427.111,98.667,14.4
50780389,laypay,334030542.0,14.682,56.565,69.0,1122.304,62072.13,15.857,14.4
17078632,BobbyJindal,354579885.0,34.621,5.161,2.571,2479.609,1677.31,3.468,14.4
229433742,Jaseholder98,286978995.0,6.115,4.906,8.361,516.699,257.374,2.793,14.4
756227808,JudithCollinsMP,235087994.0,61.609,32.348,45.652,6422.783,23635.217,33.739,14.4
54412900,DevinNunes,333064526.0,14.368,11.223,2.175,48591.575,24306.126,9.488,14.4
16579345,juliannehough,356948098.0,32.425,8.056,4.657,11438.075,4032.887,2.864,14.4
16388786,mobrowne,358011825.0,96.909,95.182,102.364,5959.636,182196.0,35.364,14.4
173857112,thecompdog,299236237.0,16.963,15.704,26.036,1384.393,27111.143,7.959,14.4
542666345,Iiterature,246698856.0,17.525,7.839,28.175,629.938,795.523,11.327,14.4
22657153,DavidSpade,343891357.0,25.65,14.346,1.154,37625.488,5227.637,11.238,14.4
42587296,bsaeta,336671460.0,3.098,11.797,1.875,50.421,28658.329,3.517,14.4
11791512,gcluley,380643282.0,119.625,21.312,62.188,3330.938,113144.062,10.562,14.4
15077191,harlanhaskins,366867529.0,28.074,16.0,75.593,1633.296,59817.407,7.296,14.4
20035593,nottjmiller,346262230.0,77.2,15.75,38.917,2560.08,64120.44,20.292,14.4
115748075,rikam99,313387068.0,24.25,26.906,50.062,868.75,88136.781,10.812,14.4
